name,word_1_text,word_1_count,word_2_text,word_2_count,word_3_text,word_3_count,word_4_text,word_4_count,word_5_text,word_5_count,word_6_text,word_6_count,word_7_text,word_7_count,word_8_text,word_8_count,word_9_text,word_9_count,word_10_text,word_10_count,3gram_1_text,3gram_1_count,3gram_2_text,3gram_2_count,3gram_3_text,3gram_3_count,3gram_4_text,3gram_4_count,3gram_5_text,3gram_5_count,3gram_6_text,3gram_6_count,3gram_7_text,3gram_7_count,3gram_8_text,3gram_8_count,3gram_9_text,3gram_9_count,3gram_10_text,3gram_10_count,4gram_1_text,4gram_1_count,4gram_2_text,4gram_2_count,4gram_3_text,4gram_3_count,4gram_4_text,4gram_4_count,4gram_5_text,4gram_5_count,4gram_6_text,4gram_6_count,4gram_7_text,4gram_7_count,4gram_8_text,4gram_8_count,4gram_9_text,4gram_9_count,4gram_10_text,4gram_10_count,5gram_1_text,5gram_1_count,5gram_2_text,5gram_2_count,5gram_3_text,5gram_3_count,5gram_4_text,5gram_4_count,5gram_5_text,5gram_5_count,5gram_6_text,5gram_6_count,5gram_7_text,5gram_7_count,5gram_8_text,5gram_8_count,5gram_9_text,5gram_9_count,5gram_10_text,5gram_10_count
both ricks,time,5,oh,3,both,3,about,3,guys,2,assume,2,theyre,2,us,2,get,2,probably,2,in both possibilities,2,oh god oh,1,god oh no,1,oh no what,1,no what did,1,what did you,1,did you guys,1,you guys just,1,guys just do,1,i assume theyre,1,oh god oh no,1,god oh no what,1,oh no what did,1,no what did you,1,what did you guys,1,did you guys just,1,you guys just do,1,i assume theyre schrödingers,1,assume theyre schrödingers cats,1,theyre schrödingers cats aactually,1,oh god oh no what,1,god oh no what did,1,oh no what did you,1,no what did you guys,1,what did you guys just,1,did you guys just do,1,i assume theyre schrödingers cats,1,assume theyre schrödingers cats aactually,1,theyre schrödingers cats aactually i,1,schrödingers cats aactually i assume,1
brad,jessica,3,man,3,wait,2,stay,2,morty,2,somethin,2,special,2,sneeze,2,whats,2,butts,1,butts in in,1,in in front,1,in front of,1,front of jessica,1,of jessica what,1,jessica what are,1,what are you,1,are you doing,1,wait wait were,1,wait were you,1,butts in in front,1,in in front of,1,in front of jessica,1,front of jessica what,1,of jessica what are,1,jessica what are you,1,what are you doing,1,wait wait were you,1,wait were you about,1,were you about to,1,butts in in front of,1,in in front of jessica,1,in front of jessica what,1,front of jessica what are,1,of jessica what are you,1,jessica what are you doing,1,wait wait were you about,1,wait were you about to,1,were you about to talk,1,you about to talk to,1
business man,hey,3,thats,2,excuse,1,help,1,stuff,1,calling,1,security,1,,0,,0,,0,excuse me can,1,me can i,1,can i help,1,i help you,1,hey hey hey,1,hey hey thats,1,hey thats my,1,thats my stuff,1,thats it im,1,it im calling,1,excuse me can i,1,me can i help,1,can i help you,1,hey hey hey thats,1,hey hey thats my,1,hey thats my stuff,1,thats it im calling,1,it im calling security,1,,0,,0,excuse me can i help,1,me can i help you,1,hey hey hey thats my,1,hey hey thats my stuff,1,thats it im calling security,1,,0,,0,,0,,0,,0
campaign manager morty,his,3,sir,2,race,2,dont,2,faith,2,please,2,believe,2,ii,2,gotta,2,campaign,2,we had a,1,had a good,1,a good run,1,good run sir,1,run sir but,1,sir but i,1,but i think,1,i think its,1,think its time,1,its time to,1,we had a good,1,had a good run,1,a good run sir,1,good run sir but,1,run sir but i,1,sir but i think,1,but i think its,1,i think its time,1,think its time to,1,its time to pull,1,we had a good run,1,had a good run sir,1,a good run sir but,1,good run sir but i,1,run sir but i think,1,sir but i think its,1,but i think its time,1,i think its time to,1,think its time to pull,1,its time to pull out,1
candidate morty,mortys,9,see,8,ricks,8,rick,4,citadel,3,our,3,citadels,3,dont,2,us,2,same,2,ricks and mortys,6,the ricks and,5,i see it,4,and mortys that,3,see it in,3,it in our,3,the citadels problem,2,from the ricks,2,im okay im,2,i feel pretty,1,the ricks and mortys,5,ricks and mortys that,3,i see it in,3,see it in our,3,from the ricks and,2,i feel pretty confident,1,feel pretty confident about,1,pretty confident about tonights,1,confident about tonights debate,1,maybe you should find,1,the ricks and mortys that,3,i see it in our,3,from the ricks and mortys,2,i feel pretty confident about,1,feel pretty confident about tonights,1,pretty confident about tonights debate,1,maybe you should find a,1,you should find a little,1,should find a little faith,1,find a little faith young,1
comedian,him,5,forget,4,about,4,ba,4,welcome,2,funny,2,audience,2,oh,2,da,2,take,2,ba da ba,2,take him out,2,him out of,2,out of here,2,welcome back to,1,back to funny,1,to funny songs,1,funny songs its,1,songs its all,1,its all improvised,1,welcome back to funny,1,back to funny songs,1,to funny songs its,1,funny songs its all,1,songs its all improvised,1,its all improvised its,1,all improvised its very,1,improvised its very funny,1,its very funny i,1,very funny i need,1,welcome back to funny songs,1,back to funny songs its,1,to funny songs its all,1,funny songs its all improvised,1,songs its all improvised its,1,its all improvised its very,1,all improvised its very funny,1,improvised its very funny i,1,its very funny i need,1,very funny i need a,1
cop morty,rick,9,his,5,geez,5,morty,5,one,4,get,4,mortys,4,aw,4,about,4,dont,4,call me a,2,me a sidekick,2,i want to,2,a rick partner,1,rick partner lesson,1,partner lesson one,1,lesson one rookie,1,one rookie expect,1,rookie expect the,1,expect the unexpected,1,call me a sidekick,2,a rick partner lesson,1,rick partner lesson one,1,partner lesson one rookie,1,lesson one rookie expect,1,one rookie expect the,1,rookie expect the unexpected,1,expect the unexpected now,1,the unexpected now get,1,unexpected now get in,1,a rick partner lesson one,1,rick partner lesson one rookie,1,partner lesson one rookie expect,1,lesson one rookie expect the,1,one rookie expect the unexpected,1,rookie expect the unexpected now,1,expect the unexpected now get,1,the unexpected now get in,1,get the fuck off the,1,the fuck off the car,1
cop rick,morty,13,right,4,thats,3,cop,3,got,3,bad,3,mortys,2,mortytown,2,codes,2,violated,2,oh ssorry i,1,ssorry i was,1,i was expecting,1,thats pretty harsh,1,pretty harsh sir,1,look im just,1,im just saying,1,just saying makes,1,saying makes me,1,makes me a,1,oh ssorry i was,1,ssorry i was expecting,1,thats pretty harsh sir,1,look im just saying,1,im just saying makes,1,just saying makes me,1,saying makes me a,1,makes me a little,1,me a little sad,1,a little sad to,1,oh ssorry i was expecting,1,look im just saying makes,1,im just saying makes me,1,just saying makes me a,1,saying makes me a little,1,makes me a little sad,1,me a little sad to,1,a little sad to hear,1,little sad to hear a,1,sad to hear a morty,1
cornvelious daniel,rick,5,memory,4,want,3,portal,3,his,3,said,2,know,2,get,2,brainalyzer,2,oh,2,your brain is,2,pull me out,2,its a trap,2,a trap abort,2,we never left,2,never left his,2,man i told,1,i told the,1,told the money,1,the money bugs,1,its a trap abort,2,we never left his,2,man i told the,1,i told the money,1,told the money bugs,1,the money bugs i,1,money bugs i said,1,bugs i said you,1,i said you know,1,said you know who,1,man i told the money,1,i told the money bugs,1,told the money bugs i,1,the money bugs i said,1,money bugs i said you,1,bugs i said you know,1,i said you know who,1,said you know who this,1,you know who this guy,1,know who this guy is,1
cromulon,planet,6,show,5,got,5,disqualified,5,music,3,them,2,us,2,five,2,planets,2,one,2,what you got,3,show us what,2,show me what,2,me what you,2,we asked them,1,asked them to,1,them to show,1,to show us,1,us what they,1,what they got,1,show me what you,2,me what you got,2,we asked them to,1,asked them to show,1,them to show us,1,to show us what,1,show us what they,1,us what they got,1,what they got and,1,they got and they,1,show me what you got,2,we asked them to show,1,asked them to show us,1,them to show us what,1,to show us what they,1,show us what they got,1,us what they got and,1,what they got and they,1,they got and they did,1,got and they did now,1
