episode,char1,char2,count
Close_Rick-Counters_of_the_Rick_Kind.txt,rick 1,rick 1 and 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,rick 1 and 2,rick 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,evil rick,morty,3
Close_Rick-Counters_of_the_Rick_Kind.txt,evil rick,rick,4
Close_Rick-Counters_of_the_Rick_Kind.txt,evil morty,evil rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,evil morty,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,evil morty,rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,evil rick,lobster alien,1
Close_Rick-Counters_of_the_Rick_Kind.txt,lobster alien,rick,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all mortys,all religious mortys,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all mortys,hammer morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all mortys,lobster alien,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all mortys,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all mortys,morty 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all mortys,morty 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all mortys,religious morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all religious mortys,hammer morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all religious mortys,lobster alien,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all religious mortys,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all religious mortys,morty 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all religious mortys,morty 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,all religious mortys,religious morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,hammer morty,lobster alien,1
Close_Rick-Counters_of_the_Rick_Kind.txt,hammer morty,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,hammer morty,morty 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,hammer morty,morty 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,hammer morty,religious morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,lobster alien,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,lobster alien,morty 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,lobster alien,morty 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,lobster alien,religious morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty,morty 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty,morty 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty,religious morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty 1,morty 2,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty 1,religious morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,morty 2,religious morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,evil rick,rick 1,1
Close_Rick-Counters_of_the_Rick_Kind.txt,council rick 1,morty,1
Close_Rick-Counters_of_the_Rick_Kind.txt,council rick 1,rick,1
Lawnmower_Dog.txt,jerry,summer,8
Lawnmower_Dog.txt,jerry,morty,5
Lawnmower_Dog.txt,jerry,rick,5
Lawnmower_Dog.txt,morty,rick,23
Lawnmower_Dog.txt,morty,summer,4
Lawnmower_Dog.txt,rick,summer,4
Lawnmower_Dog.txt,mr. goldenfold,mrs. pancakes,3
Lawnmower_Dog.txt,commercial announcer,mr. pancakes,1
Lawnmower_Dog.txt,commercial announcer,mrs. pancakes,1
Lawnmower_Dog.txt,commercial announcer,rick,1
Lawnmower_Dog.txt,mr. pancakes,mrs. pancakes,1
Lawnmower_Dog.txt,mr. pancakes,rick,1
Lawnmower_Dog.txt,mrs. pancakes,rick,3
Lawnmower_Dog.txt,mr. goldenfold,mr.goldenfold,1
Lawnmower_Dog.txt,mr. goldenfold,rick,4
Lawnmower_Dog.txt,mr.goldenfold,mrs. pancakes,1
Lawnmower_Dog.txt,mr.goldenfold,rick,2
Lawnmower_Dog.txt,morty,mr. goldenfold,1
Lawnmower_Dog.txt,beth,jerry,4
Lawnmower_Dog.txt,jerry,snuffles,5
Lawnmower_Dog.txt,snuffles,summer,6
Lawnmower_Dog.txt,mr. goldenfold,plane passenger,1
Lawnmower_Dog.txt,mr. goldenfold,plane passengers,1
Lawnmower_Dog.txt,plane passenger,plane passengers,1
Lawnmower_Dog.txt,plane passenger,rick,1
Lawnmower_Dog.txt,plane passengers,rick,2
Lawnmower_Dog.txt,morty,plane passengers,1
Lawnmower_Dog.txt,morty,mrs. pancakes,1
Lawnmower_Dog.txt,morty,sexualized s&m monster,2
Lawnmower_Dog.txt,giant frog woman,morty,1
Lawnmower_Dog.txt,giant frog woman,sexualized s&m monster,1
Lawnmower_Dog.txt,centaur,rick,1
Lawnmower_Dog.txt,morty,scary terry,6
Lawnmower_Dog.txt,rick,scary terry,7
Lawnmower_Dog.txt,summer,tv,1
Lawnmower_Dog.txt,little girl,morty,2
Lawnmower_Dog.txt,little girl,rick,2
Lawnmower_Dog.txt,little girl,scary terry,2
Lawnmower_Dog.txt,beth,snuffles,1
Lawnmower_Dog.txt,beth,summer,2
Lawnmower_Dog.txt,scary melissa,scary terry,3
Lawnmower_Dog.txt,monster teacher,scary terry,2
Lawnmower_Dog.txt,monster teacher,morty,1
Lawnmower_Dog.txt,monster teacher,rick,1
Lawnmower_Dog.txt,rick,scary melissa,1
Lawnmower_Dog.txt,beth,morty,2
Lawnmower_Dog.txt,beth,rick,2
Lawnmower_Dog.txt,morty,snuffles,2
Lawnmower_Dog.txt,rick,snuffles,1
Lawnmower_Dog.txt,bill,dog 1,1
Lawnmower_Dog.txt,bill,reporter,1
Lawnmower_Dog.txt,dog 1,reporter,1
Lawnmower_Dog.txt,accountant dog,dr. dog,1
Lawnmower_Dog.txt,accountant dog,snuffles,1
Lawnmower_Dog.txt,dr. dog,snuffles,1
Lawnmower_Dog.txt,rick,scary glenn,1
M._Night_Shaym-Aliens!.txt,beth,morty,1
