name,s1_lines,s1_words,s1_eps,s2_lines,s2_words,s2_eps,s3_lines,s3_words,s3_eps,all_lines,all_words,all_eps,1_01_Pilot_lines,1_01_Pilot_words,1_02_Lawnmower_Dog_lines,1_02_Lawnmower_Dog_words,1_03_Anatomy_Park_lines,1_03_Anatomy_Park_words,1_04_M._Night_Shaym-Aliens!_lines,1_04_M._Night_Shaym-Aliens!_words,1_05_Meeseeks_and_Destroy_lines,1_05_Meeseeks_and_Destroy_words,1_06_Rick_Potion_No._9_lines,1_06_Rick_Potion_No._9_words,1_07_Raising_Gazorpazorp_lines,1_07_Raising_Gazorpazorp_words,1_08_Rixty_Minutes_lines,1_08_Rixty_Minutes_words,1_09_Something_Ricked_This_Way_Comes_lines,1_09_Something_Ricked_This_Way_Comes_words,1_10_Close_Rick-Counters_of_the_Rick_Kind_lines,1_10_Close_Rick-Counters_of_the_Rick_Kind_words,1_11_Ricksy_Business_lines,1_11_Ricksy_Business_words,2_12_A_Rickle_in_Time_lines,2_12_A_Rickle_in_Time_words,2_13_Mortynight_Run_lines,2_13_Mortynight_Run_words,2_14_Auto_Erotic_Assimilation_lines,2_14_Auto_Erotic_Assimilation_words,2_15_Total_Rickall_lines,2_15_Total_Rickall_words,2_16_Get_Schwifty_lines,2_16_Get_Schwifty_words,2_17_The_Ricks_Must_Be_Crazy_lines,2_17_The_Ricks_Must_Be_Crazy_words,2_18_Big_Trouble_in_Little_Sanchez_lines,2_18_Big_Trouble_in_Little_Sanchez_words,2_19_Interdimensional_Cable_2_Tempting_Fate_lines,2_19_Interdimensional_Cable_2_Tempting_Fate_words,2_20_Look_Who's_Purging_Now_lines,2_20_Look_Who's_Purging_Now_words,2_21_The_Wedding_Squanchers_lines,2_21_The_Wedding_Squanchers_words,3_22_The_Rickshank_Rickdemption_lines,3_22_The_Rickshank_Rickdemption_words,3_23_Rickmancing_the_Stone_lines,3_23_Rickmancing_the_Stone_words,3_24_Pickle_Rick_lines,3_24_Pickle_Rick_words,3_25_Vindicators_3_The_Return_of_Worldender_lines,3_25_Vindicators_3_The_Return_of_Worldender_words,3_26_The_Whirly_Dirly_Conspiracy_lines,3_26_The_Whirly_Dirly_Conspiracy_words,3_27_Rest_and_Ricklaxation_lines,3_27_Rest_and_Ricklaxation_words,3_28_The_Ricklantis_Mixup_lines,3_28_The_Ricklantis_Mixup_words,3_29_Morty's_Mind_Blowers_lines,3_29_Morty's_Mind_Blowers_words,3_30_The_ABC's_of_Beth_lines,3_30_The_ABC's_of_Beth_words,3_31_The_Rickchurian_Mortydate_lines,3_31_The_Rickchurian_Mortydate_words
morty 30,0,0,0,6,27,1,0,0,0,6,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morty jr,26,255,1,0,0,0,0,0,0,26,255,1,0,0,0,0,0,0,0,0,0,0,0,0,26,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mr president,0,0,0,0,0,0,11,225,1,11,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,225
mr. beauregard,0,0,0,8,86,1,0,0,0,8,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mr. goldenfold,25,275,3,7,98,1,6,90,3,38,463,7,9,129,8,55,0,0,8,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,98,0,0,0,0,0,0,0,0,0,0,1,10,0,0,3,34,0,0,0,0,2,46,0,0,0,0,0,0,0,0
mr. jelly bean,7,45,1,0,0,0,0,0,0,7,45,1,0,0,0,0,0,0,0,0,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mr. marklevitz,13,54,1,0,0,0,0,0,0,13,54,1,0,0,0,0,0,0,13,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mr. poopybutthole,0,0,0,16,238,2,0,0,0,16,238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,114,0,0,0,0,0,0,0,0,0,0,4,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mr.president,0,0,0,9,90,1,0,0,0,9,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mrs. pancakes,8,36,1,0,0,0,1,4,1,9,40,2,0,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
narrator,0,0,0,1,116,1,8,183,1,9,299,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,183,0,0,0,0,0,0
nathan,0,0,0,10,115,1,0,0,0,10,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
needful,39,346,1,0,0,0,0,0,0,39,346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
negotiator rick,0,0,0,0,0,0,6,95,1,6,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,95,0,0,0,0,0,0
nicky,0,0,0,6,83,1,0,0,0,6,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other jerry,0,0,0,6,34,1,0,0,0,6,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pencilvester,0,0,0,7,66,1,0,0,0,7,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pickle rick,0,0,0,0,0,0,80,1092,1,80,1092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poncho,14,173,1,0,0,0,0,0,0,14,173,1,0,0,0,0,14,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
president,0,0,0,27,326,1,45,757,1,72,1083,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,757
president morty,0,0,0,0,0,0,7,102,1,7,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,102,0,0,0,0,0,0
prince nebulon,14,363,1,0,0,0,0,0,0,14,363,1,0,0,0,0,0,0,14,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
principal vagina,7,189,2,18,346,1,8,89,1,33,624,4,5,119,0,0,0,0,0,0,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,89,0,0,0,0
reporter,6,116,2,0,0,0,0,0,0,6,116,2,0,0,2,33,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rick,671,11767,11,540,8408,10,467,7148,10,1678,27323,31,81,2115,72,1236,48,709,65,1083,53,796,46,1405,57,1008,44,681,67,718,71,1169,67,847,24,477,67,1319,66,981,62,1116,45,528,97,1287,17,426,30,343,107,1580,25,351,70,1062,68,905,8,77,80,1187,36,745,77,1111,10,176,13,189,20,385,85,1311
rick 1,20,238,1,7,45,1,0,0,0,27,283,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,238,0,0,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rick 2,7,46,1,8,54,1,0,0,0,15,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,46,0,0,8,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rick 30,0,0,0,7,105,1,0,0,0,7,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rick council 1,8,129,1,0,0,0,0,0,0,8,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rick d716,0,0,0,0,0,0,8,105,1,8,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,105,0,0,0,0,0,0
rick d716-b,0,0,0,0,0,0,6,70,1,6,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,70,0,0,0,0,0,0
rick j-22,0,0,0,0,0,0,9,109,1,9,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,109,0,0,0,0,0,0
riq iv,0,0,0,0,0,0,13,151,1,13,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roger,9,168,1,0,0,0,0,0,0,9,168,1,0,0,0,0,9,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scary terry,18,141,1,0,0,0,0,0,0,18,141,1,0,0,18,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scroopy noopers,8,169,1,0,0,0,0,0,0,8,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ship,0,0,0,17,209,2,0,0,0,17,209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,16,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleepy gary,0,0,0,8,131,1,0,0,0,8,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slick,0,0,0,0,0,0,10,193,1,10,193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,193,0,0,0,0,0,0
snuffles,23,272,1,0,0,0,0,0,0,23,272,1,0,0,23,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soldier,0,0,0,3,10,1,6,54,1,9,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squanchy,8,58,1,6,32,1,0,0,0,14,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stacy,0,0,0,0,0,0,8,52,1,8,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,52,0,0,0,0,0,0,0,0
summer,198,2011,10,180,1455,9,111,1217,9,489,4683,28,8,72,20,152,12,94,0,0,7,55,13,162,35,509,21,225,51,483,1,1,30,258,17,127,0,0,39,355,28,217,13,181,25,125,9,147,13,80,30,192,6,31,33,379,43,501,7,88,1,7,2,33,2,5,0,0,1,8,14,125,8,71
summer 1,0,0,0,10,45,1,0,0,0,10,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summer 2,0,0,0,6,32,1,0,0,0,6,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supernova,0,0,0,0,0,0,44,423,1,44,423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,423,0,0,0,0,0,0,0,0,0,0,0,0
swat officer 1,0,0,0,11,72,1,0,0,0,11,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taddi mason,0,0,0,6,53,1,0,0,0,6,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tammy,6,52,1,6,115,2,4,28,1,16,195,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,52,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,4,107,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teacher rick,0,0,0,0,0,0,8,113,1,8,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,113,0,0,0,0,0,0
testicle monster a,0,0,0,27,440,1,0,0,0,27,440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tom,6,32,2,0,0,0,0,0,0,6,32,2,5,12,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toxic morty,0,0,0,0,0,0,25,128,1,25,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,128,0,0,0,0,0,0,0,0
toxic rick,0,0,0,0,0,0,54,727,1,54,727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,727,0,0,0,0,0,0,0,0
unity,0,0,0,56,842,1,0,0,0,56,842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vance,0,0,0,0,0,0,17,220,1,17,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,220,0,0,0,0,0,0,0,0,0,0,0,0
vet,0,0,0,9,88,1,0,0,0,9,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woman,4,25,3,1,1,1,2,63,2,7,89,6,0,0,0,0,0,0,2,4,1,8,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,1,52,0,0,0,0
young rick,0,0,0,0,0,0,9,89,1,9,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeep,0,0,0,41,456,1,0,0,0,41,456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
