speaker,listener,3gram_phrase,3gram_count,4gram_phrase,4gram_count,5gram_phrase,5gram_count
all,mrs. refrigerator,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,nathan,head bent over,4,head bent over raised,3,head bent over raised up,3
all,nazi,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,nicky,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,pastor bob,head bent over,4,head bent over raised,3,head bent over raised up,3
all,pencilvester,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,president,head bent over,4,head bent over raised,3,head bent over raised up,3
all,principal vagina,head bent over,4,head bent over raised,3,head bent over raised up,3
all,reverse,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,reverse giraffe,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,rick,head bent over,4,head bent over raised,3,head bent over raised up,3
all,rick and ice-t,head bent over,4,head bent over raised,3,head bent over raised up,3
all,rick and morty,head bent over,4,head bent over raised,3,head bent over raised up,3
all,simon,head bent over,4,head bent over raised,3,head bent over raised up,3
all,sleepy gary,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,summer,head bent over,4,head bent over raised,3,head bent over raised up,3
all,tammy,head bent over,4,head bent over raised,3,head bent over raised up,3
all,tinkles,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all,uncle steve,remember the barbecue,3,remember the barbecue remember,2,remember the barbecue remember the,2
all ricks,all mortys,what the hell,2,the two of you,2,what the hell is wrong,1
all ricks,all mortys and all summers,in the cupboards,2,so in conclusion youre,1,so in conclusion youre both,1
all ricks,all mortys and summer 2,what the hell,2,what the hell is,1,what the hell is wrong,1
all ricks,all rick phones,expect you to,2,expect you to understand,2,oh god my head what,1
all ricks,all summers,to kill me,2,expect you to understand,2,so in conclusion youre both,1
all ricks,beth,she did it,2,ohohoho she did it,1,ohohoho she did it she,1
all ricks,both ricks,what the hell,2,what the hell is,1,what the hell is wrong,1
all ricks,jerry,she did it,2,ohohoho she did it,1,ohohoho she did it she,1
all ricks,morty,expect you to,2,expect you to understand,2,oh god my head what,1
all ricks,morty 1,what the hell,2,expect you to understand,2,what the hell is wrong,1
all ricks,morty 1 & 4,expect you to,2,expect you to understand,2,oh god my head what,1
all ricks,morty 1 & summer 2,what the hell,2,what the hell is,1,what the hell is wrong,1
all ricks,"morty 1, 2 and 3",expect you to,2,expect you to understand,2,oh god my head what,1
