name,s1_lines,s1_words,s1_eps,s2_lines,s2_words,s2_eps,s3_lines,s3_words,s3_eps,all_lines,all_words,all_eps
policeman,1,6,1,0,0,0,0,0,0,1,6,1
poncho,14,179,1,0,0,0,0,0,0,14,179,1
president,0,0,0,27,332,1,45,757,1,72,1089,2
president morty,0,0,0,0,0,0,7,102,1,7,102,1
priest,0,0,0,0,0,0,3,25,1,3,25,1
prince nebulon,14,367,1,0,0,0,0,0,0,14,367,1
principal gene v.,1,33,1,0,0,0,0,0,0,1,33,1
principal vagina,7,222,2,18,370,1,8,103,1,33,695,4
prison photography cyborg,0,0,0,1,15,1,0,0,0,1,15,1
psychopath morty,0,0,0,0,0,0,1,5,1,1,5,1
purple suit rick,0,0,0,0,0,0,1,49,1,1,49,1
purple trunk morty,0,0,0,0,0,0,1,3,1,1,3,1
purple-p,0,0,0,1,4,1,0,0,0,1,4,1
quantum rick/rick,0,0,0,0,0,0,2,29,1,2,29,1
